src_id,dst_id,edge_type,active,weight
B5,r5,capable_of,1,1.0
B5,r6,capable_of,1,1.0
B5,r7,capable_of,1,1.0
B6,r1,capable_of,1,1.0
B6,r2,capable_of,1,1.0
B6,r3,capable_of,1,1.0
B6,r4,capable_of,1,1.0
B6,r5,capable_of,1,1.0
B6,r6,capable_of,1,1.0
B6,r7,capable_of,1,1.0
B7,r1,capable_of,1,1.0
B7,r2,capable_of,1,1.0
B7,r3,capable_of,1,1.0
B7,r4,capable_of,1,1.0
B7,r5,capable_of,1,1.0
B7,r6,capable_of,1,1.0
B7,r7,capable_of,1,1.0
B8,r1,capable_of,1,1.0
B8,r2,capable_of,1,1.0
B8,r3,capable_of,1,1.0
B8,r4,capable_of,1,1.0
B8,r5,capable_of,1,1.0
B8,r6,capable_of,1,1.0
B8,r7,capable_of,1,1.0
B9,r1,capable_of,1,1.0
B9,r2,capable_of,1,1.0
B9,r3,capable_of,1,1.0
B9,r4,capable_of,1,1.0
B9,r5,capable_of,1,1.0
B9,r6,capable_of,1,1.0
B9,r7,capable_of,1,1.0
B10,r1,capable_of,1,1.0
B10,r2,capable_of,1,1.0
B10,r3,capable_of,1,1.0
B10,r4,capable_of,1,1.0
B10,r5,capable_of,1,1.0
B10,r6,capable_of,1,1.0
B10,r7,capable_of,1,1.0
B11,r1,capable_of,1,1.0
B11,r2,capable_of,1,1.0
B11,r3,capable_of,1,1.0
B11,r4,capable_of,1,1.0
B11,r5,capable_of,1,1.0
B11,r6,capable_of,1,1.0
B11,r7,capable_of,1,1.0
B12,r1,capable_of,1,1.0
B12,r2,capable_of,1,1.0
B12,r3,capable_of,1,1.0
B12,r4,capable_of,1,1.0
B12,r5,capable_of,1,1.0
B12,r6,capable_of,1,1.0
B12,r7,capable_of,1,1.0
B13,r1,capable_of,1,1.0
B13,r2,capable_of,1,1.0
B13,r3,capable_of,1,1.0
B13,r4,capable_of,1,1.0
B13,r5,capable_of,1,1.0
B13,r6,capable_of,1,1.0
B13,r7,capable_of,1,1.0
B14,r1,capable_of,1,1.0
B14,r2,capable_of,1,1.0
B14,r3,capable_of,1,1.0
B14,r4,capable_of,1,1.0
B14,r5,capable_of,1,1.0
B14,r6,capable_of,1,1.0
B14,r7,capable_of,1,1.0
B15,r1,capable_of,1,1.0
B15,r2,capable_of,1,1.0
B15,r3,capable_of,1,1.0
B15,r4,capable_of,1,1.0
B15,r5,capable_of,1,1.0
B15,r6,capable_of,1,1.0
B15,r7,capable_of,1,1.0
B16,r1,capable_of,1,1.0
B16,r2,capable_of,1,1.0
B16,r3,capable_of,1,1.0
B16,r4,capable_of,1,1.0
B16,r5,capable_of,1,1.0
B16,r6,capable_of,1,1.0
B16,r7,capable_of,1,1.0
B17,r1,capable_of,1,1.0
B17,r2,capable_of,1,1.0
B17,r3,capable_of,1,1.0
B17,r4,capable_of,1,1.0
B17,r5,capable_of,1,1.0
B17,r6,capable_of,1,1.0
B17,r7,capable_of,1,1.0
r1,s1,assigned_to,1,1.0
r2,s2,assigned_to,1,1.0
r3,s3,assigned_to,1,1.0
r4,s4,assigned_to,1,1.0
r5,s1,assigned_to,1,1.0
r6,s2,assigned_to,1,1.0
r7,s3,assigned_to,1,1.0
B1,s1,located_in,1,1.0
B2,s2,located_in,1,1.0
B3,s3,located_in,1,1.0
B4,s4,located_in,1,1.0
B5,s1,located_in,1,1.0
B6,s2,located_in,1,1.0
B7,s3,located_in,1,1.0
B8,s4,located_in,1,1.0
B9,s1,located_in,1,1.0
B10,s2,located_in,1,1.0
B11,s3,located_in,1,1.0
B12,s4,located_in,1,1.0
B13,s1,located_in,1,1.0
B14,s2,located_in,1,1.0
B15,s3,located_in,1,1.0
B16,s4,located_in,1,1.0
B17,s1,located_in,1,1.0
