"instance_id","group","seed","env_id","algorithm","output_algorithm","migd","mhv","art","nigd"
"P1_H_01","Small-H","1","9","SET","SET","0.04478455","0.75938788","1.95061576","-0.04360779"
"P1_H_01","Small-H","1","10","SET","SET","0.04490727","0.75666061","1.95596121","-0.04348943"
"P1_H_01","Small-H","1","1","KTS-DMOEA","KTS-DMOEA","0.04195328","0.79480606","2.42375091","-0.03459662"
"P1_H_01","Small-H","1","2","KTS-DMOEA","KTS-DMOEA","0.04207082","0.79207879","2.43054182","-0.03450472"
"P1_H_01","Small-H","1","3","KTS-DMOEA","KTS-DMOEA","0.04218837","0.78935152","2.43733273","-0.03441281"
"P1_H_01","Small-H","1","4","KTS-DMOEA","KTS-DMOEA","0.04230592","0.78662424","2.44412364","-0.0343209"
"P1_H_01","Small-H","1","5","KTS-DMOEA","KTS-DMOEA","0.04242346","0.78389697","2.45091455","-0.03422899"
"P1_H_01","Small-H","1","6","KTS-DMOEA","KTS-DMOEA","0.04254101","0.7811697","2.45770545","-0.03413708"
"P1_H_01","Small-H","1","7","KTS-DMOEA","KTS-DMOEA","0.04265855","0.77844242","2.46449636","-0.03404517"
"P1_H_01","Small-H","1","8","KTS-DMOEA","KTS-DMOEA","0.0427761","0.77571515","2.47128727","-0.03395326"
"P1_H_01","Small-H","1","9","KTS-DMOEA","KTS-DMOEA","0.04289364","0.77298788","2.47807818","-0.03386135"
"P1_H_01","Small-H","1","10","KTS-DMOEA","KTS-DMOEA","0.04301119","0.77026061","2.48486909","-0.03376944"
"P1_H_01","Small-H","1","1","CBT","CBT","0.04516548","0.76940606","1.90785212","-0.07073316"
"P1_H_01","Small-H","1","2","CBT","CBT","0.04529202","0.76667879","1.91319758","-0.07054525"
"P1_H_01","Small-H","1","3","CBT","CBT","0.04541857","0.76395152","1.91854303","-0.07035734"
"P1_H_01","Small-H","1","4","CBT","CBT","0.04554512","0.76122424","1.92388848","-0.07016943"
"P1_H_01","Small-H","1","5","CBT","CBT","0.04567166","0.75849697","1.92923394","-0.06998152"
"P1_H_01","Small-H","1","6","CBT","CBT","0.04579821","0.7557697","1.93457939","-0.06979361"
"P1_H_01","Small-H","1","7","CBT","CBT","0.04592475","0.75304242","1.93992485","-0.0696057"
"P1_H_01","Small-H","1","8","CBT","CBT","0.0460513","0.75031515","1.9452703","-0.06941779"
"P1_H_01","Small-H","1","9","CBT","CBT","0.04617784","0.74758788","1.95061576","-0.06922988"
"P1_H_01","Small-H","1","10","CBT","CBT","0.04630439","0.74486061","1.95596121","-0.06904198"
"P1_H_01","Small-H","1","1","SMT-DLB","SMT-DLB","0.03543154","0.84170606","2.18040242","-0.0880828"
"P1_H_01","Small-H","1","2","SMT-DLB","SMT-DLB","0.03553081","0.83897879","2.18651152","-0.0878488"
"P1_H_01","Small-H","1","3","SMT-DLB","SMT-DLB","0.03563008","0.83625152","2.19262061","-0.0876148"
"P1_H_01","Small-H","1","4","SMT-DLB","SMT-DLB","0.03572936","0.83352424","2.1987297","-0.0873808"
"P1_H_01","Small-H","1","5","SMT-DLB","SMT-DLB","0.03582863","0.83079697","2.20483879","-0.0871468"
"P1_H_01","Small-H","1","6","SMT-DLB","SMT-DLB","0.0359279","0.8280697","2.21094788","-0.0869128"
"P1_H_01","Small-H","1","7","SMT-DLB","SMT-DLB","0.03602718","0.82534242","2.21705697","-0.0866788"
"P1_H_01","Small-H","1","8","SMT-DLB","SMT-DLB","0.03612645","0.82261515","2.22316606","-0.0864448"
"P1_H_01","Small-H","1","9","SMT-DLB","SMT-DLB","0.03622572","0.81988788","2.22927515","-0.0862108"
"P1_H_01","Small-H","1","10","SMT-DLB","SMT-DLB","0.03632499","0.81716061","2.23538424","-0.0859768"
"P1_H_01","Small-H","2","1","CI-DMOEA","CI-DMOEA","0.03787115","0.81923939","2.71344848","-0.08181276"
"P1_H_01","Small-H","2","2","CI-DMOEA","CI-DMOEA","0.03797697","0.81651212","2.7210303","-0.08159485"
"P1_H_01","Small-H","2","3","CI-DMOEA","CI-DMOEA","0.03808279","0.81378485","2.72861212","-0.08137694"
"P1_H_01","Small-H","2","4","CI-DMOEA","CI-DMOEA","0.03818861","0.81105758","2.73619394","-0.08115903"
"P1_H_01","Small-H","2","5","CI-DMOEA","CI-DMOEA","0.03829442","0.8083303","2.74377576","-0.08094112"
"P1_H_01","Small-H","2","6","CI-DMOEA","CI-DMOEA","0.03840024","0.80560303","2.75135758","-0.08072321"
"P1_H_01","Small-H","2","7","CI-DMOEA","CI-DMOEA","0.03850606","0.80287576","2.75893939","-0.0805053"
"P1_H_01","Small-H","2","8","CI-DMOEA","CI-DMOEA","0.03861188","0.80014848","2.76652121","-0.08028739"
"P1_H_01","Small-H","2","9","CI-DMOEA","CI-DMOEA","0.0387177","0.79742121","2.77410303","-0.08006948"
"P1_H_01","Small-H","2","10","CI-DMOEA","CI-DMOEA","0.03882352","0.79469394","2.78168485","-0.07985158"
"P1_H_01","Small-H","2","1","DG-DMOEA","DG-DMOEA","0.03465015","0.82663939","3.46501515","-0.06758"
"P1_H_01","Small-H","2","2","DG-DMOEA","DG-DMOEA","0.03474697","0.82391212","3.47469697","-0.0674"
"P1_H_01","Small-H","2","3","DG-DMOEA","DG-DMOEA","0.03484379","0.82118485","3.48437879","-0.06722"
"P1_H_01","Small-H","2","4","DG-DMOEA","DG-DMOEA","0.03494061","0.81845758","3.49406061","-0.06704"
"P1_H_01","Small-H","2","5","DG-DMOEA","DG-DMOEA","0.03503742","0.8157303","3.50374242","-0.06686"
"P1_H_01","Small-H","2","6","DG-DMOEA","DG-DMOEA","0.03513424","0.81300303","3.51342424","-0.06668"
"P1_H_01","Small-H","2","7","DG-DMOEA","DG-DMOEA","0.03523106","0.81027576","3.52310606","-0.0665"
"P1_H_01","Small-H","2","8","DG-DMOEA","DG-DMOEA","0.03532788","0.80754848","3.53278788","-0.06632"
"P1_H_01","Small-H","2","9","DG-DMOEA","DG-DMOEA","0.0354247","0.80482121","3.5424697","-0.06614"
"P1_H_01","Small-H","2","10","DG-DMOEA","DG-DMOEA","0.03552152","0.80209394","3.55215152","-0.06596"
"P1_H_01","Small-H","2","1","SET","SET","0.04392273","0.77853939","1.91307879","-0.04443897"
"P1_H_01","Small-H","2","2","SET","SET","0.04404545","0.77581212","1.91842424","-0.04432061"
"P1_H_01","Small-H","2","3","SET","SET","0.04416818","0.77308485","1.9237697","-0.04420224"
"P1_H_01","Small-H","2","4","SET","SET","0.04429091","0.77035758","1.92911515","-0.04408388"
"P1_H_01","Small-H","2","5","SET","SET","0.04441364","0.7676303","1.93446061","-0.04396552"
"P1_H_01","Small-H","2","6","SET","SET","0.04453636","0.76490303","1.93980606","-0.04384715"
"P1_H_01","Small-H","2","7","SET","SET","0.04465909","0.76217576","1.94515152","-0.04372879"
"P1_H_01","Small-H","2","8","SET","SET","0.04478182","0.75944848","1.95049697","-0.04361042"
"P1_H_01","Small-H","2","9","SET","SET","0.04490455","0.75672121","1.95584242","-0.04349206"
"P1_H_01","Small-H","2","10","SET","SET","0.04502727","0.75399394","1.96118788","-0.0433737"
"P1_H_01","Small-H","2","1","KTS-DMOEA","KTS-DMOEA","0.04206821","0.79213939","2.43039091","-0.03450676"
"P1_H_01","Small-H","2","2","KTS-DMOEA","KTS-DMOEA","0.04218576","0.78941212","2.43718182","-0.03441485"
"P1_H_01","Small-H","2","3","KTS-DMOEA","KTS-DMOEA","0.0423033","0.78668485","2.44397273","-0.03432294"
"P1_H_01","Small-H","2","4","KTS-DMOEA","KTS-DMOEA","0.04242085","0.78395758","2.45076364","-0.03423103"
"P1_H_01","Small-H","2","5","KTS-DMOEA","KTS-DMOEA","0.04253839","0.7812303","2.45755455","-0.03413912"
"P1_H_01","Small-H","2","6","KTS-DMOEA","KTS-DMOEA","0.04265594","0.77850303","2.46434545","-0.03404721"
"P1_H_01","Small-H","2","7","KTS-DMOEA","KTS-DMOEA","0.04277348","0.77577576","2.47113636","-0.0339553"
"P1_H_01","Small-H","2","8","KTS-DMOEA","KTS-DMOEA","0.04289103","0.77304848","2.47792727","-0.03386339"
"P1_H_01","Small-H","2","9","KTS-DMOEA","KTS-DMOEA","0.04300858","0.77032121","2.48471818","-0.03377148"
"P1_H_01","Small-H","2","10","KTS-DMOEA","KTS-DMOEA","0.04312612","0.76759394","2.49150909","-0.03367958"
"P1_H_01","Small-H","2","1","CBT","CBT","0.04528921","0.76673939","1.91307879","-0.07054942"
"P1_H_01","Small-H","2","2","CBT","CBT","0.04541576","0.76401212","1.91842424","-0.07036152"
"P1_H_01","Small-H","2","3","CBT","CBT","0.0455423","0.76128485","1.9237697","-0.07017361"
"P1_H_01","Small-H","2","4","CBT","CBT","0.04566885","0.75855758","1.92911515","-0.0699857"
"P1_H_01","Small-H","2","5","CBT","CBT","0.04579539","0.7558303","1.93446061","-0.06979779"
"P1_H_01","Small-H","2","6","CBT","CBT","0.04592194","0.75310303","1.93980606","-0.06960988"
"P1_H_01","Small-H","2","7","CBT","CBT","0.04604848","0.75037576","1.94515152","-0.06942197"
"P1_H_01","Small-H","2","8","CBT","CBT","0.04617503","0.74764848","1.95049697","-0.06923406"
"P1_H_01","Small-H","2","9","CBT","CBT","0.04630158","0.74492121","1.95584242","-0.06904615"
"P1_H_01","Small-H","2","10","CBT","CBT","0.04642812","0.74219394","1.96118788","-0.06885824"
"P1_H_01","Small-H","2","1","SMT-DLB","SMT-DLB","0.03552861","0.83903939","2.18637576","-0.087854"
"P1_H_01","Small-H","2","2","SMT-DLB","SMT-DLB","0.03562788","0.83631212","2.19248485","-0.08762"
"P1_H_01","Small-H","2","3","SMT-DLB","SMT-DLB","0.03572715","0.83358485","2.19859394","-0.087386"
"P1_H_01","Small-H","2","4","SMT-DLB","SMT-DLB","0.03582642","0.83085758","2.20470303","-0.087152"
"P1_H_01","Small-H","2","5","SMT-DLB","SMT-DLB","0.0359257","0.8281303","2.21081212","-0.086918"
"P1_H_01","Small-H","2","6","SMT-DLB","SMT-DLB","0.03602497","0.82540303","2.21692121","-0.086684"
"P1_H_01","Small-H","2","7","SMT-DLB","SMT-DLB","0.03612424","0.82267576","2.2230303","-0.08645"
"P1_H_01","Small-H","2","8","SMT-DLB","SMT-DLB","0.03622352","0.81994848","2.22913939","-0.086216"
"P1_H_01","Small-H","2","9","SMT-DLB","SMT-DLB","0.03632279","0.81722121","2.23524848","-0.085982"
"P1_H_01","Small-H","2","10","SMT-DLB","SMT-DLB","0.03642206","0.81449394","2.24135758","-0.085748"
"P1_H_01","Small-H","3","1","CI-DMOEA","CI-DMOEA","0.03797462","0.81657273","2.72086182","-0.08159969"
"P1_H_01","Small-H","3","2","CI-DMOEA","CI-DMOEA","0.03808044","0.81384545","2.72844364","-0.08138178"
"P1_H_01","Small-H","3","3","CI-DMOEA","CI-DMOEA","0.03818625","0.81111818","2.73602545","-0.08116387"
"P1_H_01","Small-H","3","4","CI-DMOEA","CI-DMOEA","0.03829207","0.80839091","2.74360727","-0.08094596"
"P1_H_01","Small-H","3","5","CI-DMOEA","CI-DMOEA","0.03839789","0.80566364","2.75118909","-0.08072805"
"P1_H_01","Small-H","3","6","CI-DMOEA","CI-DMOEA","0.03850371","0.80293636","2.75877091","-0.08051015"
"P1_H_01","Small-H","3","7","CI-DMOEA","CI-DMOEA","0.03860953","0.80020909","2.76635273","-0.08029224"
"P1_H_01","Small-H","3","8","CI-DMOEA","CI-DMOEA","0.03871535","0.79748182","2.77393455","-0.08007433"
"P1_H_01","Small-H","3","9","CI-DMOEA","CI-DMOEA","0.03882116","0.79475455","2.78151636","-0.07985642"
"P1_H_01","Small-H","3","10","CI-DMOEA","CI-DMOEA","0.03892698","0.79202727","2.78909818","-0.07963851"
"P1_H_01","Small-H","3","1","DG-DMOEA","DG-DMOEA","0.03474482","0.82397273","3.47448182","-0.067404"
"P1_H_01","Small-H","3","2","DG-DMOEA","DG-DMOEA","0.03484164","0.82124545","3.48416364","-0.067224"
"P1_H_01","Small-H","3","3","DG-DMOEA","DG-DMOEA","0.03493845","0.81851818","3.49384545","-0.067044"
"P1_H_01","Small-H","3","4","DG-DMOEA","DG-DMOEA","0.03503527","0.81579091","3.50352727","-0.066864"
"P1_H_01","Small-H","3","5","DG-DMOEA","DG-DMOEA","0.03513209","0.81306364","3.51320909","-0.066684"
"P1_H_01","Small-H","3","6","DG-DMOEA","DG-DMOEA","0.03522891","0.81033636","3.52289091","-0.066504"
"P1_H_01","Small-H","3","7","DG-DMOEA","DG-DMOEA","0.03532573","0.80760909","3.53257273","-0.066324"
"P1_H_01","Small-H","3","8","DG-DMOEA","DG-DMOEA","0.03542255","0.80488182","3.54225455","-0.066144"
"P1_H_01","Small-H","3","9","DG-DMOEA","DG-DMOEA","0.03551936","0.80215455","3.55193636","-0.065964"
"P1_H_01","Small-H","3","10","DG-DMOEA","DG-DMOEA","0.03561618","0.79942727","3.56161818","-0.065784"
"P1_H_01","Small-H","3","1","SET","SET","0.04404273","0.77587273","1.91830545","-0.04432324"
"P1_H_01","Small-H","3","2","SET","SET","0.04416545","0.77314545","1.92365091","-0.04420487"
"P1_H_01","Small-H","3","3","SET","SET","0.04428818","0.77041818","1.92899636","-0.04408651"
"P1_H_01","Small-H","3","4","SET","SET","0.04441091","0.76769091","1.93434182","-0.04396815"
"P1_H_01","Small-H","3","5","SET","SET","0.04453364","0.76496364","1.93968727","-0.04384978"
"P1_H_01","Small-H","3","6","SET","SET","0.04465636","0.76223636","1.94503273","-0.04373142"
"P1_H_01","Small-H","3","7","SET","SET","0.04477909","0.75950909","1.95037818","-0.04361305"
"P1_H_01","Small-H","3","8","SET","SET","0.04490182","0.75678182","1.95572364","-0.04349469"
"P1_H_01","Small-H","3","9","SET","SET","0.04502455","0.75405455","1.96106909","-0.04337633"
"P1_H_01","Small-H","3","10","SET","SET","0.04514727","0.75132727","1.96641455","-0.04325796"
"P1_H_01","Small-H","3","1","KTS-DMOEA","KTS-DMOEA","0.04218315","0.78947273","2.43703091","-0.03441689"
"P1_H_01","Small-H","3","2","KTS-DMOEA","KTS-DMOEA","0.04230069","0.78674545","2.44382182","-0.03432498"
"P1_H_01","Small-H","3","3","KTS-DMOEA","KTS-DMOEA","0.04241824","0.78401818","2.45061273","-0.03423307"
"P1_H_01","Small-H","3","4","KTS-DMOEA","KTS-DMOEA","0.04253578","0.78129091","2.45740364","-0.03414116"
"P1_H_01","Small-H","3","5","KTS-DMOEA","KTS-DMOEA","0.04265333","0.77856364","2.46419455","-0.03404925"
"P1_H_01","Small-H","3","6","KTS-DMOEA","KTS-DMOEA","0.04277087","0.77583636","2.47098545","-0.03395735"
"P1_H_01","Small-H","3","7","KTS-DMOEA","KTS-DMOEA","0.04288842","0.77310909","2.47777636","-0.03386544"
"P1_H_01","Small-H","3","8","KTS-DMOEA","KTS-DMOEA","0.04300596","0.77038182","2.48456727","-0.03377353"
"P1_H_01","Small-H","3","9","KTS-DMOEA","KTS-DMOEA","0.04312351","0.76765455","2.49135818","-0.03368162"
"P1_H_01","Small-H","3","10","KTS-DMOEA","KTS-DMOEA","0.04324105","0.76492727","2.49814909","-0.03358971"
"P1_H_01","Small-H","3","1","CBT","CBT","0.04541295","0.76407273","1.91830545","-0.07036569"
"P1_H_01","Small-H","3","2","CBT","CBT","0.04553949","0.76134545","1.92365091","-0.07017778"
"P1_H_01","Small-H","3","3","CBT","CBT","0.04566604","0.75861818","1.92899636","-0.06998987"
"P1_H_01","Small-H","3","4","CBT","CBT","0.04579258","0.75589091","1.93434182","-0.06980196"
"P1_H_01","Small-H","3","5","CBT","CBT","0.04591913","0.75316364","1.93968727","-0.06961405"
"P1_H_01","Small-H","3","6","CBT","CBT","0.04604567","0.75043636","1.94503273","-0.06942615"
"P1_H_01","Small-H","3","7","CBT","CBT","0.04617222","0.74770909","1.95037818","-0.06923824"
"P1_H_01","Small-H","3","8","CBT","CBT","0.04629876","0.74498182","1.95572364","-0.06905033"
"P1_H_01","Small-H","3","9","CBT","CBT","0.04642531","0.74225455","1.96106909","-0.06886242"
"P1_H_01","Small-H","3","10","CBT","CBT","0.04655185","0.73952727","1.96641455","-0.06867451"
"P1_H_01","Small-H","3","1","SMT-DLB","SMT-DLB","0.03562567","0.83637273","2.19234909","-0.0876252"
"P1_H_01","Small-H","3","2","SMT-DLB","SMT-DLB","0.03572495","0.83364545","2.19845818","-0.0873912"
"P1_H_01","Small-H","3","3","SMT-DLB","SMT-DLB","0.03582422","0.83091818","2.20456727","-0.0871572"
"P1_H_01","Small-H","3","4","SMT-DLB","SMT-DLB","0.03592349","0.82819091","2.21067636","-0.0869232"
"P1_H_01","Small-H","3","5","SMT-DLB","SMT-DLB","0.03602276","0.82546364","2.21678545","-0.0866892"
"P1_H_01","Small-H","3","6","SMT-DLB","SMT-DLB","0.03612204","0.82273636","2.22289455","-0.0864552"
"P1_H_01","Small-H","3","7","SMT-DLB","SMT-DLB","0.03622131","0.82000909","2.22900364","-0.0862212"
"P1_H_01","Small-H","3","8","SMT-DLB","SMT-DLB","0.03632058","0.81728182","2.23511273","-0.0859872"
"P1_H_01","Small-H","3","9","SMT-DLB","SMT-DLB","0.03641985","0.81455455","2.24122182","-0.0857532"
"P1_H_01","Small-H","3","10","SMT-DLB","SMT-DLB","0.03651913","0.81182727","2.24733091","-0.0855192"
"P1_H_01","Small-H","4","1","CI-DMOEA","CI-DMOEA","0.03807808","0.81390606","2.72827515","-0.08138662"
"P1_H_01","Small-H","4","2","CI-DMOEA","CI-DMOEA","0.0381839","0.81117879","2.73585697","-0.08116872"
"P1_H_01","Small-H","4","3","CI-DMOEA","CI-DMOEA","0.03828972","0.80845152","2.74343879","-0.08095081"
"P1_H_01","Small-H","4","4","CI-DMOEA","CI-DMOEA","0.03839554","0.80572424","2.75102061","-0.0807329"
"P1_H_01","Small-H","4","5","CI-DMOEA","CI-DMOEA","0.03850136","0.80299697","2.75860242","-0.08051499"
"P1_H_01","Small-H","4","6","CI-DMOEA","CI-DMOEA","0.03860718","0.8002697","2.76618424","-0.08029708"
"P1_H_01","Small-H","4","7","CI-DMOEA","CI-DMOEA","0.03871299","0.79754242","2.77376606","-0.08007917"
"P1_H_01","Small-H","4","8","CI-DMOEA","CI-DMOEA","0.03881881","0.79481515","2.78134788","-0.07986126"
"P1_H_01","Small-H","4","9","CI-DMOEA","CI-DMOEA","0.03892463","0.79208788","2.7889297","-0.07964335"
"P1_H_01","Small-H","4","10","CI-DMOEA","CI-DMOEA","0.03903045","0.78936061","2.79651152","-0.07942544"
"P1_H_01","Small-H","4","1","DG-DMOEA","DG-DMOEA","0.03483948","0.82130606","3.48394848","-0.067228"
"P1_H_01","Small-H","4","2","DG-DMOEA","DG-DMOEA","0.0349363","0.81857879","3.4936303","-0.067048"
"P1_H_01","Small-H","4","3","DG-DMOEA","DG-DMOEA","0.03503312","0.81585152","3.50331212","-0.066868"
"P1_H_01","Small-H","4","4","DG-DMOEA","DG-DMOEA","0.03512994","0.81312424","3.51299394","-0.066688"
"P1_H_01","Small-H","4","5","DG-DMOEA","DG-DMOEA","0.03522676","0.81039697","3.52267576","-0.066508"
"P1_H_01","Small-H","4","6","DG-DMOEA","DG-DMOEA","0.03532358","0.8076697","3.53235758","-0.066328"
"P1_H_01","Small-H","4","7","DG-DMOEA","DG-DMOEA","0.03542039","0.80494242","3.54203939","-0.066148"
"P1_H_01","Small-H","4","8","DG-DMOEA","DG-DMOEA","0.03551721","0.80221515","3.55172121","-0.065968"
"P1_H_01","Small-H","4","9","DG-DMOEA","DG-DMOEA","0.03561403","0.79948788","3.56140303","-0.065788"
"P1_H_01","Small-H","4","10","DG-DMOEA","DG-DMOEA","0.03571085","0.79676061","3.57108485","-0.065608"
"P1_H_01","Small-H","4","1","SET","SET","0.04416273","0.77320606","1.92353212","-0.0442075"
"P1_H_01","Small-H","4","2","SET","SET","0.04428545","0.77047879","1.92887758","-0.04408914"
"P1_H_01","Small-H","4","3","SET","SET","0.04440818","0.76775152","1.93422303","-0.04397078"
"P1_H_01","Small-H","4","4","SET","SET","0.04453091","0.76502424","1.93956848","-0.04385241"
"P1_H_01","Small-H","4","5","SET","SET","0.04465364","0.76229697","1.94491394","-0.04373405"
"P1_H_01","Small-H","4","6","SET","SET","0.04477636","0.7595697","1.95025939","-0.04361568"
"P1_H_01","Small-H","4","7","SET","SET","0.04489909","0.75684242","1.95560485","-0.04349732"
"P1_H_01","Small-H","4","8","SET","SET","0.04502182","0.75411515","1.9609503","-0.04337896"
"P1_H_01","Small-H","4","9","SET","SET","0.04514455","0.75138788","1.96629576","-0.04326059"
"P1_H_01","Small-H","4","10","SET","SET","0.04526727","0.74866061","1.97164121","-0.04314223"
"P1_H_01","Small-H","4","1","KTS-DMOEA","KTS-DMOEA","0.04229808","0.78680606","2.44367091","-0.03432702"
"P1_H_01","Small-H","4","2","KTS-DMOEA","KTS-DMOEA","0.04241562","0.78407879","2.45046182","-0.03423512"
"P1_H_01","Small-H","4","3","KTS-DMOEA","KTS-DMOEA","0.04253317","0.78135152","2.45725273","-0.03414321"
"P1_H_01","Small-H","4","4","KTS-DMOEA","KTS-DMOEA","0.04265072","0.77862424","2.46404364","-0.0340513"
"P1_H_01","Small-H","4","5","KTS-DMOEA","KTS-DMOEA","0.04276826","0.77589697","2.47083455","-0.03395939"
"P1_H_01","Small-H","4","6","KTS-DMOEA","KTS-DMOEA","0.04288581","0.7731697","2.47762545","-0.03386748"
"P1_H_01","Small-H","4","7","KTS-DMOEA","KTS-DMOEA","0.04300335","0.77044242","2.48441636","-0.03377557"
"P1_H_01","Small-H","4","8","KTS-DMOEA","KTS-DMOEA","0.0431209","0.76771515","2.49120727","-0.03368366"
"P1_H_01","Small-H","4","9","KTS-DMOEA","KTS-DMOEA","0.04323844","0.76498788","2.49799818","-0.03359175"
"P1_H_01","Small-H","4","10","KTS-DMOEA","KTS-DMOEA","0.04335599","0.76226061","2.50478909","-0.03349984"
"P1_H_01","Small-H","4","1","CBT","CBT","0.04553668","0.76140606","1.92353212","-0.07018196"
"P1_H_01","Small-H","4","2","CBT","CBT","0.04566322","0.75867879","1.92887758","-0.06999405"
"P1_H_01","Small-H","4","3","CBT","CBT","0.04578977","0.75595152","1.93422303","-0.06980614"
"P1_H_01","Small-H","4","4","CBT","CBT","0.04591632","0.75322424","1.93956848","-0.06961823"
"P1_H_01","Small-H","4","5","CBT","CBT","0.04604286","0.75049697","1.94491394","-0.06943032"
"P1_H_01","Small-H","4","6","CBT","CBT","0.04616941","0.7477697","1.95025939","-0.06924241"
"P1_H_01","Small-H","4","7","CBT","CBT","0.04629595","0.74504242","1.95560485","-0.0690545"
"P1_H_01","Small-H","4","8","CBT","CBT","0.0464225","0.74231515","1.9609503","-0.06886659"
"P1_H_01","Small-H","4","9","CBT","CBT","0.04654904","0.73958788","1.96629576","-0.06867868"
"P1_H_01","Small-H","4","10","CBT","CBT","0.04667559","0.73686061","1.97164121","-0.06849078"
"P1_H_01","Small-H","4","1","SMT-DLB","SMT-DLB","0.03572274","0.83370606","2.19832242","-0.0873964"
"P1_H_01","Small-H","4","2","SMT-DLB","SMT-DLB","0.03582201","0.83097879","2.20443152","-0.0871624"
"P1_H_01","Small-H","4","3","SMT-DLB","SMT-DLB","0.03592128","0.82825152","2.21054061","-0.0869284"
"P1_H_01","Small-H","4","4","SMT-DLB","SMT-DLB","0.03602056","0.82552424","2.2166497","-0.0866944"
"P1_H_01","Small-H","4","5","SMT-DLB","SMT-DLB","0.03611983","0.82279697","2.22275879","-0.0864604"
"P1_H_01","Small-H","4","6","SMT-DLB","SMT-DLB","0.0362191","0.8200697","2.22886788","-0.0862264"
"P1_H_01","Small-H","4","7","SMT-DLB","SMT-DLB","0.03631838","0.81734242","2.23497697","-0.0859924"
"P1_H_01","Small-H","4","8","SMT-DLB","SMT-DLB","0.03641765","0.81461515","2.24108606","-0.0857584"
"P1_H_01","Small-H","4","9","SMT-DLB","SMT-DLB","0.03651692","0.81188788","2.24719515","-0.0855244"
"P1_H_01","Small-H","4","10","SMT-DLB","SMT-DLB","0.03661619","0.80916061","2.25330424","-0.0852904"
"P1_H_01","Small-H","5","1","CI-DMOEA","CI-DMOEA","0.03818155","0.81123939","2.73568848","-0.08117356"
"P1_H_01","Small-H","5","2","CI-DMOEA","CI-DMOEA","0.03828737","0.80851212","2.7432703","-0.08095565"
"P1_H_01","Small-H","5","3","CI-DMOEA","CI-DMOEA","0.03839319","0.80578485","2.75085212","-0.08073774"
