"figure","group","algorithm","output_algorithm","env_id","generation","migd"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","5","0.04527199"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","6","0.04465109"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","7","0.0440477"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","8","0.0434626"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","9","0.0428967"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","10","0.04235104"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","11","0.04182679"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","12","0.04132538"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","13","0.04084847"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","14","0.04039811"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","15","0.03997691"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","16","0.03958826"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","17","0.03923689"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","18","0.03893001"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","19","0.03868058"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","20","0.0385284"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","0","0.048694"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","1","0.04799497"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","2","0.04731052"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","3","0.04664111"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","4","0.04598727"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","5","0.04534959"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","6","0.04472869"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","7","0.0441253"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","8","0.0435402"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","9","0.0429743"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","10","0.04242864"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","11","0.04190439"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","12","0.04140298"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","13","0.04092607"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","14","0.04047571"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","15","0.04005451"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","16","0.03966586"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","17","0.03931449"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","18","0.03900761"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","19","0.03875818"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","3","20","0.038606"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","0","0.0487716"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","1","0.04807257"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","2","0.04738812"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","3","0.04671871"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","4","0.04606487"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","5","0.04542719"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","6","0.04480629"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","7","0.0442029"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","8","0.0436178"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","9","0.0430519"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","10","0.04250624"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","11","0.04198199"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","12","0.04148058"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","13","0.04100367"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","14","0.04055331"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","15","0.04013211"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","16","0.03974346"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","17","0.03939209"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","18","0.03908521"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","19","0.03883578"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","4","20","0.0386836"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","0","0.0488492"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","1","0.04815017"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","2","0.04746572"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","3","0.04679631"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","4","0.04614247"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","5","0.04550479"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","6","0.04488389"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","7","0.0442805"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","8","0.0436954"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","9","0.0431295"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","10","0.04258384"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","11","0.04205959"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","12","0.04155818"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","13","0.04108127"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","14","0.04063091"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","15","0.04020971"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","16","0.03982106"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","17","0.03946969"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","18","0.03916281"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","19","0.03891338"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","5","20","0.0387612"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","0","0.0489268"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","1","0.04822777"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","2","0.04754332"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","3","0.04687391"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","4","0.04622007"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","5","0.04558239"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","6","0.04496149"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","7","0.0443581"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","8","0.043773"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","9","0.0432071"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","10","0.04266144"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","11","0.04213719"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","12","0.04163578"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","13","0.04115887"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","14","0.04070851"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","15","0.04028731"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","16","0.03989866"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","17","0.03954729"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","18","0.03924041"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","19","0.03899098"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","6","20","0.0388388"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","0","0.0490044"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","1","0.04830537"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","2","0.04762092"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","3","0.04695151"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","4","0.04629767"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","5","0.04565999"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","6","0.04503909"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","7","0.0444357"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","8","0.0438506"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","9","0.0432847"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","10","0.04273904"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","11","0.04221479"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","12","0.04171338"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","13","0.04123647"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","14","0.04078611"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","15","0.04036491"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","16","0.03997626"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","17","0.03962489"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","18","0.03931801"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","19","0.03906858"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","7","20","0.0389164"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","0","0.049082"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","1","0.04838297"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","2","0.04769852"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","3","0.04702911"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","4","0.04637527"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","5","0.04573759"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","6","0.04511669"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","7","0.0445133"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","8","0.0439282"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","9","0.0433623"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","10","0.04281664"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","11","0.04229239"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","12","0.04179098"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","13","0.04131407"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","14","0.04086371"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","15","0.04044251"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","16","0.04005386"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","17","0.03970249"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","18","0.03939561"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","19","0.03914618"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","8","20","0.038994"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","0","0.0491596"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","1","0.04846057"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","2","0.04777612"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","3","0.04710671"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","4","0.04645287"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","5","0.04581519"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","6","0.04519429"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","7","0.0445909"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","8","0.0440058"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","9","0.0434399"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","10","0.04289424"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","11","0.04236999"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","12","0.04186858"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","13","0.04139167"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","14","0.04094131"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","15","0.04052011"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","16","0.04013146"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","17","0.03978009"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","18","0.03947321"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","19","0.03922378"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","9","20","0.0390716"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","0","0.0492372"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","1","0.04853817"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","2","0.04785372"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","3","0.04718431"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","4","0.04653047"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","5","0.04589279"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","6","0.04527189"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","7","0.0446685"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","8","0.0440834"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","9","0.0435175"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","10","0.04297184"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","11","0.04244759"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","12","0.04194618"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","13","0.04146927"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","14","0.04101891"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","15","0.04059771"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","16","0.04020906"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","17","0.03985769"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","18","0.03955081"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","19","0.03930138"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","10","20","0.0391492"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","0","0.0429905"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","1","0.04244932"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","2","0.04191942"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","3","0.04140118"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","4","0.04089498"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","5","0.0404013"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","6","0.03992061"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","7","0.03945347"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","8","0.03900049"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","9","0.03856238"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","10","0.03813994"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","11","0.03773407"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","12","0.03734588"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","13","0.03697667"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","14","0.03662801"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","15","0.03630192"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","16","0.03600103"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","17","0.035729"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","18","0.03549142"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","19","0.03529832"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","1","20","0.0351805"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","0","0.0430615"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","1","0.04252032"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","2","0.04199042"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","3","0.04147218"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","4","0.04096598"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","5","0.0404723"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","6","0.03999161"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","7","0.03952447"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","8","0.03907149"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","9","0.03863338"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","10","0.03821094"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","11","0.03780507"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","12","0.03741688"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","13","0.03704767"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","14","0.03669901"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","15","0.03637292"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","16","0.03607203"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","17","0.0358"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","18","0.03556242"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","19","0.03536932"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","2","20","0.0352515"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","0","0.0431325"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","1","0.04259132"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","2","0.04206142"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","3","0.04154318"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","4","0.04103698"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","5","0.0405433"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","6","0.04006261"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","7","0.03959547"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","8","0.03914249"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","9","0.03870438"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","10","0.03828194"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","11","0.03787607"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","12","0.03748788"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","13","0.03711867"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","14","0.03677001"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","15","0.03644392"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","16","0.03614303"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","17","0.035871"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","18","0.03563342"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","19","0.03544032"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","3","20","0.0353225"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","0","0.0432035"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","1","0.04266232"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","2","0.04213242"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","3","0.04161418"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","4","0.04110798"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","5","0.0406143"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","6","0.04013361"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","7","0.03966647"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","8","0.03921349"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","9","0.03877538"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","10","0.03835294"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","11","0.03794707"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","12","0.03755888"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","13","0.03718967"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","14","0.03684101"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","15","0.03651492"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","16","0.03621403"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","17","0.035942"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","18","0.03570442"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","19","0.03551132"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","4","20","0.0353935"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","0","0.0432745"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","1","0.04273332"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","2","0.04220342"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","3","0.04168518"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","4","0.04117898"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","5","0.0406853"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","6","0.04020461"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","7","0.03973747"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","8","0.03928449"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","9","0.03884638"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","10","0.03842394"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","11","0.03801807"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","12","0.03762988"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","13","0.03726067"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","14","0.03691201"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","15","0.03658592"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","16","0.03628503"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","17","0.036013"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","18","0.03577542"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","19","0.03558232"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","5","20","0.0354645"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","6","0","0.0433455"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","6","1","0.04280432"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","6","2","0.04227442"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","6","3","0.04175618"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","6","4","0.04124998"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","6","5","0.0407563"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","6","6","0.04027561"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","6","7","0.03980847"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","6","8","0.03935549"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","6","9","0.03891738"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","6","10","0.03849494"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","6","11","0.03808907"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","6","12","0.03770088"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","6","13","0.03733167"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","6","14","0.03698301"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","6","15","0.03665692"
"fig-convergence","Small-H","DG-DMOEA","DG-DMOEA","6","16","0.03635603"
